,A,mu,sigma,unique_id
mcr-1.245,0.0673581345651782,87.55270809052367,2.2936849889658952,61.0
mcr-1.246,0.0671972979703474,87.3253599760996,2.417574754416116,61.0
mcr-1.247,0.0651513077051294,87.45976843412652,2.372122464137372,61.0
mcr-1.249,0.0572228776126825,87.35109999259402,2.46191348421247,61.0
mcr-1.250,0.0579906227411356,87.43046473709845,2.39117597893224,61.0
mcr-1.251,0.059407251129866,87.36941596389603,2.352090486759264,61.0
mcr-1.252,0.0603298554455338,87.35864669583546,2.38206440731478,61.0
mcr-1.253,0.0611235902463466,87.39926581826525,2.385803644008889,61.0
mcr-1.254,0.0587936829070939,87.37601442623708,2.3992003114628417,61.0
mcr-1.255,0.0654280012648983,87.31081521177505,2.260696202450387,61.0
mcr-1.256,0.0570194240450763,87.44336903487583,2.539265986346533,61.0
mcr-1.257,0.0563635162243333,87.37444382667317,2.558759038438624,61.0
mcr-1.259,0.0601281198912569,87.48826259075257,2.377036203889152,61.0
mcr-1.260,0.0641737879337873,87.36819971503141,2.187736767564032,61.0
mcr-1.262,0.0520991388562781,87.57440194998787,2.481081596279814,61.0
mcr-1.263,0.0541576301215796,87.45384776924888,2.3880805047335305,61.0
mcr-1.264,0.0644821122352304,87.47446896937687,2.3801964830558564,61.0
mcr-1.265,0.0569867863064329,87.42180294290608,2.3668978387648187,61.0
mcr-1.266,0.0583967992778509,87.44304480439718,2.3872501946523013,61.0
mcr-1.267,0.0496114670135751,87.99547032004753,2.5985612620652936,61.0
mcr-1.268,0.0585711697995826,87.50764435051747,2.455737023422372,61.0
mcr-1.270,0.0636442484510037,87.28414241400932,2.33053887684874,61.0
mcr-1.271,0.061268937075049,87.23557716819907,2.527766674402789,61.0
mcr-1.272,0.0594204801643347,87.36141430604592,2.489852847430596,61.0
mcr-1.273,0.05861206296172,87.32551696213653,2.455642743943516,61.0
mcr-1.274,0.0619336048374245,86.97682360094673,2.502842450391732,61.0
mcr-1.275,0.0641713380783004,87.41396549587758,2.3592040836649075,61.0
